Revenue,Margin,Orders,Units,Recency
2232,775.0,1,3,720
2123,0.0,1,2,692
925,260.0,1,1,706
2853,618.0,1,2,704
2951,681.0,3,3,695
15019,5001.0,11,12,1905
1756,442.0,2,2,1371
1894,628.0,2,3,726
26549,2972.0,10,22,3062
23404,5774.0,3,29,1917
6184,1098.0,4,5,1947
8287,1709.0,4,10,1344
1530,278.0,1,1,716
391,38.0,1,1,719
1503,38.0,2,2,710
2470,111.0,1,1,727
6264,394.0,7,16,1336
3405,944.0,2,4,1406
1980,243.0,1,1,752
1252,405.0,1,1,759
32533,10789.0,27,32,7290
20147,5810.0,2,25,744
4180,1433.0,3,3,721
1983,270.0,1,1,695
1360,131.0,1,1,721
1480,79.0,4,4,1182
1827,690.0,1,1,640
2139,784.0,1,1,682
2839,528.0,1,2,637
437,91.0,1,1,630
1281,482.0,1,1,636
5582,102.0,2,10,979
8669,2704.0,1,10,616
6707,2090.0,3,9,1136
894,344.0,1,1,633
1016,285.0,2,2,612
3311,470.0,3,9,1166
1487,475.0,1,1,609
440,5.0,1,1,664
800,234.0,1,1,620
1906,607.0,1,2,623
2548,956.0,1,1,606
1277,464.0,1,1,984
21969,4295.0,1,14,628
854,371.0,1,1,641
2957,403.0,2,2,1138
80791,24745.0,11,75,1192
1209,9.0,1,2,610
1421,428.0,1,1,617
1527,465.0,1,2,663
1108,232.0,1,1,666
1469,52.0,1,1,614
2266,268.0,1,1,620
3305,635.0,1,4,997
3044,731.0,3,3,1222
541,158.0,1,1,602
421,16.0,1,1,665
29920,4145.0,9,43,1183
1630,292.0,1,1,650
1385,46.0,1,1,616
1711,618.0,1,2,626
3854,1106.0,3,4,1144
2376,713.0,1,2,676
1382,494.0,1,1,675
1043,256.0,1,1,987
1097,316.0,1,1,683
6003,669.0,3,5,1163
3222,793.0,1,2,616
5119,198.0,3,6,1166
1848,112.0,2,3,1154
1431,667.0,1,1,685
3617,841.0,1,7,634
1740,389.0,1,2,623
1174,265.0,1,1,676
3242,97.0,2,6,658
1033,248.0,1,1,997
11214,3586.0,5,9,1207
742,176.0,1,1,684
786,91.0,1,1,601
8178,1420.0,4,7,1774
4079,697.0,2,3,1179
1517,150.0,2,2,660
8545,3558.0,1,6,657
36773,2550.0,2,64,1211
2009,0.0,1,4,599
1611,362.0,1,1,682
2623,1076.0,1,2,987
1824,139.0,1,2,672
3918,1249.0,1,2,684
746,136.0,1,1,682
2531,709.0,1,1,654
3396,96.0,1,6,600
6444,1682.0,2,5,1168
8717,3324.0,3,4,1197
25382,3623.0,4,26,1144
3625,1670.0,1,1,652
1554,243.0,1,1,600
24149,5053.0,9,21,4726
2745,61.0,3,4,627
6491,1937.0,5,5,1191
2421,389.0,2,3,1216
3483,1644.0,2,2,1156
80486,17116.0,14,95,1178
6209,2623.0,2,4,1170
1434,328.0,1,2,619
2218,817.0,1,1,612
6453,2396.0,2,6,1171
766,64.0,1,1,607
527,120.0,1,1,999
1011,189.0,1,2,651
574,80.0,1,1,651
7817,3024.0,3,6,646
1929,679.0,1,1,650
1078,330.0,1,1,601
2856,1050.0,2,2,1214
8494,2952.0,2,4,618
7737,2473.0,2,8,1165
2442,332.0,1,2,607
736,103.0,1,1,600
162553,43355.0,19,174,4748
4272,1540.0,3,4,2783
1668,631.0,2,2,1166
545,23.0,1,1,617
1272,265.0,1,2,658
5491,1079.0,2,4,668
7404,2271.0,1,9,612
5801,3218.0,2,4,1234
6434,475.0,2,8,1170
3413,531.0,1,1,624
1599,475.0,1,1,640
1905,947.0,1,1,651
22045,5096.0,7,21,4043
783,212.0,1,1,633
1080,65.0,2,4,1173
11598,3359.0,3,9,1194
3902,1020.0,3,3,1226
2638,530.0,1,2,636
1328,297.0,1,1,606
1296,86.0,1,1,606
1376,346.0,1,1,629
1945,474.0,1,1,686
2713,583.0,1,3,677
23041,2383.0,4,24,2661
1000,15.0,1,1,634
981,371.0,1,1,606
4185,1124.0,3,4,1150
4694,1309.0,3,3,1135
583,61.0,1,1,607
1883,526.0,1,1,686
3966,824.0,3,4,638
1509,502.0,1,1,619
1205,403.0,1,1,632
2349,149.0,1,6,606
2070,36.0,1,4,1015
17368,0.0,1,12,599
2078,398.0,2,2,1152
2210,810.0,1,2,679
561,78.0,1,1,616
1524,704.0,1,1,655
3725,1502.0,2,2,640
9512,2943.0,5,7,1211
2177,515.0,2,3,1127
1543,432.0,1,1,606
1031,298.0,1,1,684
2506,503.0,1,3,1046
1509,326.0,1,1,666
793,123.0,1,1,611
9109,2744.0,3,11,1200
3645,1476.0,1,2,602
2893,517.0,1,3,606
794,93.0,1,3,662
2805,723.0,2,3,636
1107,359.0,1,1,685
1899,583.0,1,1,627
3514,1259.0,2,3,683
989,299.0,1,1,1011
814,41.0,1,2,601
663,143.0,1,1,648
3628,766.0,1,4,612
1201,332.0,1,2,650
1251,426.0,1,1,670
4119,1019.0,2,4,645
1413,667.0,1,1,650
641,18.0,1,2,677
1110,382.0,1,1,675
29425,5362.0,1,63,650
660,80.0,1,1,972
10320,630.0,5,24,657
1013,310.0,1,1,622
2314,775.0,1,2,683
1380,51.0,1,1,642
13406,4315.0,2,18,1189
1751,242.0,1,1,614
901,271.0,1,1,656
951,133.0,1,1,602
2014,641.0,1,1,659
1611,362.0,1,1,686
1831,332.0,1,1,1001
5438,718.0,2,3,638
1476,0.0,1,1,636
1038,23.0,1,3,633
14127,2439.0,3,26,1211
20733,5704.0,1,10,633
2913,94.0,1,5,643
11763,5101.0,4,10,1217
2819,749.0,1,2,615
2275,284.0,2,2,1150
6265,2887.0,1,5,656
12374,4326.0,4,9,2924
28357,9662.0,9,21,1157
1149,102.0,1,1,608
590,49.0,1,1,680
1747,942.0,1,1,600
4907,340.0,1,8,637
16056,4707.0,9,21,1217
1087,297.0,1,1,669
1613,0.0,1,1,598
386,9.0,1,1,669
1593,476.0,1,1,630
1625,157.0,1,1,988
807,65.0,1,1,612
863,135.0,1,1,656
849,21.0,1,1,653
1252,205.0,1,1,616
1389,261.0,3,3,1202
1361,173.0,1,1,632
1149,0.0,1,1,605
1849,253.0,1,2,608
1852,679.0,1,1,606
1448,446.0,1,1,626
407164,173475.0,14,267,4641
540,79.0,1,1,973
1664,80.0,1,1,613
3442,763.0,1,2,627
440,7.0,1,1,627
1589,598.0,1,1,605
4521,949.0,1,4,608
1366,638.0,1,1,619
37960,6727.0,8,51,1768
1698,546.0,1,2,662
2098,741.0,1,2,606
2650,171.0,1,2,598
1577,0.0,1,1,969
4443,0.0,1,5,599
955,3.0,1,1,679
2540,0.0,2,2,618
1389,548.0,1,1,612
2125,405.0,1,1,663
736,80.0,1,1,600
14020,912.0,1,23,612
1288,77.0,1,2,601
3489,1079.0,2,2,1192
1126,319.0,1,1,629
2330,540.0,1,1,1024
998,217.0,1,1,658
1056,52.0,1,3,682
2280,873.0,1,2,613
2610,647.0,1,3,651
43737,14912.0,6,28,1863
6377,846.0,2,4,1304
3074,462.0,1,4,655
586,61.0,1,1,601
1150,201.0,1,1,608
865,113.0,1,1,640
66574,15506.0,20,57,9923
1198,0.0,1,1,599
1945,378.0,1,1,629
1748,545.0,1,1,606
1111,0.0,1,1,597
1007,322.0,1,1,622
6136,1437.0,5,6,1236
14873,476.0,1,22,626
1217,229.0,1,1,630
1160,246.0,1,2,642
980,94.0,1,1,623
35518,18712.0,2,32,1692
1249,411.0,1,1,629
1082,324.0,1,1,610
4066,1024.0,2,3,631
1507,439.0,1,1,686
1508,180.0,1,1,644
6071,1952.0,1,1,622
768,161.0,1,1,648
887,215.0,1,1,637
1475,278.0,1,2,638
1471,315.0,1,1,607
12194,3777.0,7,10,3974
1376,136.0,1,2,681
1576,156.0,1,1,657
3241,1347.0,1,1,653
1298,30.0,1,2,633
1078,291.0,1,1,672
5783,1240.0,2,3,1185
1706,0.0,1,1,596
10240,2371.0,1,8,627
2592,360.0,2,2,673
8138,795.0,1,10,626
18824,5156.0,12,13,4122
1950,0.0,1,1,602
2796,280.0,1,4,615
674,146.0,1,1,602
1491,167.0,1,1,645
702,70.0,1,1,662
881,173.0,1,1,613
1999,784.0,1,1,641
1941,0.0,1,1,596
1173,202.0,1,1,609
15548,8542.0,1,13,682
3340,818.0,2,2,1901
1513,283.0,1,1,628
769,145.0,1,1,619
291,0.0,1,1,612
3535,1260.0,1,1,600
1393,55.0,1,1,671
4046,387.0,2,5,624
12080,1241.0,2,21,1112
4005,1794.0,2,4,1207
2941,1005.0,2,3,638
4394,1079.0,2,3,636
8009,1770.0,3,5,2510
3484,1187.0,2,3,636
1947,140.0,1,3,628
10941,3867.0,1,10,676
8348,1386.0,5,5,1138
10893,2746.0,1,20,642
1209,114.0,1,1,643
757,44.0,1,1,634
2029,538.0,1,2,669
2016,217.0,1,1,619
2115,260.0,1,1,625
2192,715.0,1,1,968
545,23.0,1,1,601
595,92.0,1,1,676
2097,756.0,2,2,1212
1195,232.0,1,2,601
6154,821.0,5,9,1160
1367,102.0,1,3,675
13457,0.0,1,24,600
20187,8765.0,6,10,653
2358,487.0,2,3,637
561,0.0,1,1,602
22565,3566.0,12,15,3250
1270,272.0,1,1,977
2796,864.0,1,2,622
13154,1033.0,3,20,1145
720,232.0,1,1,651
1918,990.0,1,1,599
2251,1136.0,1,1,602
699,70.0,1,1,620
2796,417.0,1,4,616
1661,713.0,1,1,650
469,71.0,1,1,637
1597,677.0,1,1,626
6220,2305.0,8,9,4354
1150,188.0,1,1,624
1068,121.0,1,3,602
1832,286.0,1,3,605
1650,226.0,1,1,622
3138,928.0,2,4,661
