Company Name,Revenue,Margin,Orders,Units,Recency
Customer10269,5745,865,1,1,769
Customer1027,39734,3202,8,41,3699
Customer10270,10321,3051,3,6,1924
Customer10271,2049,466,1,1,697
Customer10272,46479,18215,2,40,1311
Customer10273,763,77,1,1,712
Customer10274,65054,20564,12,68,1916
Customer10275,5550,2633,1,8,706
Customer10276,14270,3582,1,15,700
Customer10277,1491,0,1,1,687
Customer10278,2629,816,1,4,746
Customer10279,36512,10388,8,26,1883
Customer1028,29173,2289,2,46,1921
Customer10280,6159,1971,1,5,710
Customer10281,700,76,1,1,691
Customer10282,6352,2160,2,2,707
Customer10283,27175,3662,2,35,759
Customer10284,31660,8482,19,46,1922
Customer10285,7843,1975,4,8,1391
Customer10286,2456,455,1,3,717
Customer10287,1840,650,1,1,746
Customer10288,2100,377,2,2,1205
Customer10289,4230,212,2,7,1264
Customer1029,15036,804,1,12,983
Customer10290,872,305,1,1,747
Customer10291,1589,556,1,3,714
Customer10292,340,32,1,1,727
Customer10293,817,307,1,1,719
Customer10294,2526,435,3,3,1271
Customer10295,3078,739,1,1,722
Customer10296,3518,0,1,3,693
Customer10297,2898,864,3,4,1913
Customer10298,801,196,1,1,725
Customer10299,1367,433,1,1,768
Customer103,14796,3704,7,17,3071
Customer1030,887,149,1,1,964
Customer10300,51466,9071,3,32,729
Customer10301,836,245,1,2,721
Customer10302,4420,1340,1,5,753
Customer10303,5999,696,3,6,1243
Customer10304,646,137,1,1,705
Customer10305,950,72,1,3,710
Customer10306,732,123,1,1,718
Customer10307,447,6,1,1,747
Customer10308,1535,412,1,1,746
Customer10309,6887,1919,8,9,1870
Customer1031,11245,2992,4,7,3286
Customer10310,3645,1621,1,4,732
Customer10311,1925,615,2,3,1424
Customer10312,1451,407,1,2,698
Customer10313,5643,1590,10,10,1934
Customer10314,1281,68,1,2,759
Customer10315,621,235,1,1,769
Customer10316,1939,472,3,3,1348
Customer10317,3831,0,1,3,690
Customer10318,996,436,1,1,760
Customer10319,456,184,1,1,713
Customer1032,16744,4435,7,14,3498
